location_street_address,location_specifier,location_postcode,area_living,floor_number
Zirkonipolku 2,A 5,01700,60.00,2
Kivipyykintie 6-8,D 32,00710,51.00,3
Talvikkitie 13,A 3,01300,51.00,1
Saturnuksenrinne 1,A 27,01480,62.50,6
Fredrikinkatu 62,B 36,00100,30.30,3
Roihuvuorentie 18,C 94,00820,52.50,1
Kalliolinnantie 16,C 13,00140,240.00,1
Kuulakuja 4,B 22,01280,45.00,1
Neitsytpolku 2a,B 36,00140,43.80,5
Teljäntie 5,C 46,00350,81.00,4
Oravakuja 10,B 6,01450,82.00,1
Palotie 14,A 6,02760,55.00,1
Purjeentekijänkuja 13,C 39,00210,48.50,3
Lohitie 7,A 4,02170,106.00,1
Ruusutorpanpolku 11,as. A,02600,93.30,1
Porvoonkatu 32,A 11,00520,37.00,4
Juhanintie 8,as. E,02180,82.50,1
Meritullinkatu 13,B 40,00170,50.50,2
Jan-Magnus Janssonin aukio 6,A 24,00560,47.50,4
Hietalahdenranta 11,A 6a,00180,169.50,4
Neilikkatie 8,C 102,01300,63.50,6
Sahanmäenkuja 4,B 37,00520,95.00,5
Haagan urheilutie 18,B 24,00320,36.00,3
Puustellinpolku 8,K 23,00410,108.00,3
Yrttikuja 6,C,01300,113.00,1
Hiekkaharjuntie 18,A 9,01300,62.00,3
Kunnaantie 15,K,01370,135.00,1
Suvilahdenkatu 1,A 16,00500,45.40,4
Tammitie 21,B 44,00330,49.50,1
Lauttasaarentie 1,B 31,00200,101.50,6
Kulmavuorenkatu 5,A 44,00500,54.50,6
Särkitie 11,as. 3,02170,192.00,1
Neitsytpolku 9,F 86,00140,51.00,2
Kettutie 4,B 24,00800,27.50,4
Risto Rytin kuja 1,B 23,00570,82.00,2
Pariisinkuja 2,C 69,00560,123.50,7
Santakatu 2,A 5,00180,58.50,2
Peräsin 3,B,02320,122.00,1
Käenkuja 3b,B 81,00500,38.50,6
Köökarinkuja 3,B 19,00840,44.00,4
Niittykulmantie 3,B 13,00440,43.50,1
Rajatie 39a,A 1,01230,20.00,1
Porttikuja 5,A 13,00940,57.00,4
Sturenkatu 32,B 21,00550,35.00,2
Orioninkatu 6,C 45,00550,37.50,4
Tallimestarintie 19,as. 7,02940,83.00,1
Malminkatu 38,A 21,00100,49.40,5
Rapakiventie 10,H 73,00710,58.00,1
Kivenlahdenkatu 3,H 90,02320,82.00,2
Maasälväntie 5,F 34,00710,67.00,3
Kauriintie 4,D 33,00740,132.00,2
Ruususenrinne 2,D 71,00820,35.50,3
Kluuvintie 9,as. Q,02180,81.00,1
Tuohimäentie 92a,B 2,00670,92.00,1
Saariseläntie 2,H 109,00970,65.00,2
Köydenpunojankatu 7,A 8a,00180,22.00,4
Kapteeninkatu 7,A 20,00140,25.00,8
Vilppulantie 24,G 76,00700,34.00,4
Professorintie 2,B 22,00330,53.50,3
Paapuuri 4,B 36,02330,47.50,3
Pienen Villasaaren tie 9,C 19,00960,112.00,1
Ristolantie 18,A 9,00320,34.00,3
Pyynikintie 5,C 30,00710,30.80,3
Tehtaankatu 11,B 19,00140,217.00,7
Albertinkatu 44,B 28,00180,21.10,6
Venuksentie 6,L 129,01480,97.00,3
Kahvipavunkuja 3,D 79,00990,30.00,2
Hannuntie 21,F 25,02360,66.00,1
Köydenpunojankatu 7,A 11,00180,71.00,5
Maauuninkuja 4,F 56,01450,80.00,2
Inkoonkatu 2,B 30,00520,20.50,4
Nuijamiestentie 30,A C3+1,00400,54.00,1
Rautakiskonkuja 4,B 17,02650,61.00,3
Lummetie 43,D 16,01300,78.00,1
Huvilakatu 25,A 3,00150,134.50,4
Kaskenpolttajantie 18,as. A,02340,95.00,1
Vähäntuvantie 1a,B 53,00390,56.50,3
Pihkatie 3,A 7,00410,42.50,3
Vuokselantie 10,H,02140,107.50,1
Yllästunturintie 2,B 16,00970,77.00,3
Tilkankatu 6,C 46,00300,57.00,5
Ostostie 2,A 2,00940,49.00,1
Kallioimarteentie 7,B 40,01350,55.00,2
Leikosaarentie 28,B 81,00990,51.00,7
Biologinkatu 6,E 47,00790,115.00,2
Hiekkaharjuntie 10,B 35,01300,65.00,3
Hukantie 8,B 3,01450,77.00,1
Merenkulkijankatu 3,A 8,02320,35.00,3
Iso Roobertinkatu 41,A 27,00120,42.00,5
Keinutie 6,I 50,00940,107.00,1
Laurinniityntie 5,A 8,00440,31.00,3
Laivasillankatu 14,A 14,00140,84.50,5
Koillisväylä 11,A 3,00200,53.00,1
Englantilaisaukio 10,A 212,00580,46.50,26
Vanamontie 4,A 100,01350,59.50,1
Leilankuja 4,A 12,02230,61.50,3
Mestarinkatu 8,A 29,02650,50.00,6
Punakiventie 11,G 190,00980,70.00,3
Meteorinkatu 5,B 15,02210,51.50,1
Museokatu 29,B 49,00100,49.00,6
Porvoonkatu 17,A 17,00510,40.90,4
Kanneltie 4,A 12,00420,51.00,4
Stenbäckinkatu 6,B 33,00250,79.50,3
Iivisniementie 2,I 144,02260,76.50,4
Mannerheimintie 54,A 5,00260,40.50,1
Pyynikintie 5,C 23,00710,61.50,1
Haapaniemenkatu 11,B 61,00530,71.50,5
